,Planet name,T_sd,T_ad,T_sn,T_an
0,TRAPPIST-1 b,490.94801,402.23343,337.22739,310.85515
1,TRAPPIST-1 c,421.51464,344.14477,306.92581,281.41347
2,TRAPPIST-1 d,348.96871,283.49744,272.20054,264.56374
3,TRAPPIST-1 e,258.23751,202.99282,195.79471,202.9114
4,TRAPPIST-1 f,221.16101,176.53435,178.12449,176.53354
5,TRAPPIST-1 g,194.66142,157.55227,163.84686,157.55224
6,TRAPPIST-1 h,166.61539,137.049,146.77311,137.049
7,LP 890-9 b,500.65738,418.7741,315.91428,274.65694
8,LP 890-9 c,322.91809,253.66275,267.53285,239.60317
9,LHS 1140 b,221.7842,177.0009,178.4435,176.99323
10,GJ 1132 b,714.66658,596.05994,409.29868,438.43934
11,GJ 1214 b,743.59899,617.62008,416.30536,386.788
12,LHS 1140 b,211.68322,169.78056,173.20483,169.77942
13,LHS 1140 c,492.16246,404.31362,334.92319,307.19428
14,GJ 1214 b,725.2351,599.62938,423.57639,398.172
15,LHS 1478 b,645.01482,83.57979,299.76559,83.57979
16,K2-25 b,525.05063,84.52554,276.20478,84.52554
17,L 98-59 b,766.80114,632.4433,448.93269,426.8085
18,L 98-59 c,530.16523,87.28388,388.788,87.28388
19,L 98-59 d,502.97031,410.45176,347.14524,322.95272
20,TOI-3884 b,565.16971,458.20852,386.16574,366.54537
21,GJ 3929 b,722.63353,598.63073,416.72965,389.45153
22,TOI-2136 b,484.63035,398.10145,331.57274,303.70121
23,K2-146 b,716.9121,557.96165,302.40813,87.18345
24,GJ 1252 b,291.37106,231.19957,231.27761,158.93289
25,K2-18 b,283.57391,85.16137,206.23093,85.16137
26,GJ 436 b,685.82304,85.06555,306.83504,85.06555
27,TOI-1685 b,260.80511,131.34484,8.71653,239.3106
28,TOI-2285 b,319.93109,81.25908,219.91866,81.25908
